ts,device_id,temp,humidity,co,lpg,smoke,nh3,motion,light
2018-01-01 00:00:00,sensor_1,20.68,56.53,0.002264,0.001767,0.001161,0.010267,0,0
2018-01-01 01:00:00,sensor_1,20.15,61.93,0.000943,0.000569,0.001181,0.012503,0,0
2018-01-01 02:00:00,sensor_1,19.64,64.05,0.003225,0.001192,0.001317,0.012954,1,1
2018-01-01 03:00:00,sensor_1,18.81,64.54,0.002514,0.001342,0.001118,0.013606,0,0
2018-01-01 04:00:00,sensor_1,18.97,66.29,0.000946,0.001048,0.001064,0.013522,0,0
2018-01-01 05:00:00,sensor_1,18.0,63.76,0.001543,0.000735,0.001199,0.013965,1,1
2018-01-01 06:00:00,sensor_1,18.0,65.83,0.001023,0.001423,0.000774,0.013298,0,1
2018-01-01 07:00:00,sensor_1,18.0,63.52,0.001464,0.001187,0.000963,0.008493,0,1
2018-01-01 08:00:00,sensor_1,18.0,66.22,0.001377,0.00118,0.000705,0.012107,1,1
2018-01-01 09:00:00,sensor_1,18.0,64.22,0.001756,0.000293,0.000687,0.013034,0,1
2018-01-01 10:00:00,sensor_1,18.19,64.26,0.000756,0.001354,0.000889,0.013488,0,1
2018-01-01 11:00:00,sensor_1,18.29,63.28,0.001878,0.000886,0.000653,0.015185,1,0
2018-01-01 12:00:00,sensor_1,18.83,61.94,0.00145,0.000943,0.001121,0.007314,1,1
2018-01-01 13:00:00,sensor_1,19.69,60.97,0.001235,0.001808,0.000591,0.012116,0,0
2018-01-01 14:00:00,sensor_1,19.5,60.03,0.00218,0.001135,0.00069,0.012997,1,1
2018-01-01 15:00:00,sensor_1,19.56,56.32,1.1e-05,0.002283,0.000711,0.007783,1,1
2018-01-01 16:00:00,sensor_1,20.56,54.95,0.002786,0.001452,0.000939,0.00634,1,1
2018-01-01 17:00:00,sensor_1,21.04,57.76,0.003962,0.001289,0.000969,0.008208,0,1
2018-01-01 18:00:00,sensor_1,21.06,56.4,0.004985,0.001444,0.000591,0.007653,1,1
2018-01-01 19:00:00,sensor_1,21.35,60.16,0.003894,0.000878,0.001026,0.01166,1,1
2018-01-01 20:00:00,sensor_1,21.14,59.07,0.003453,0.001362,0.000648,0.012562,0,1
2018-01-01 21:00:00,sensor_1,21.4,58.18,0.004519,0.00159,0.001152,0.010215,0,1
2018-01-01 22:00:00,sensor_1,21.24,56.67,0.005122,0.001676,0.000507,0.008817,0,0
2018-01-01 23:00:00,sensor_1,20.63,56.93,0.002533,0.000614,0.00099,0.009261,0,0
